TIC ID,TFOPWG Disposition
258804746,CP
347553438,PC
405763009,PC
155001079,APC
298164705,PC
154568734,PC
251094370,PC
686072378,FP
274194927,PC
129839175,APC
219175972,PC
219175972,PC
168871868,FP
318753380,CP
29959760,APC
439867639,CP
142868621,PC
1167538,CP
231721005,FP
231721005,PC
170729775,CP
59128183,PC
434260570,PC
411839167,KP
293612446,KP
412054152,PC
369376388,PC
394346745,PC
263179590,CP
134471108,PC
206906112,PC
170103435,FP
96925186,PC
149601126,CP
149601126,CP
380836882,PC
83154030,PC
52059926,PC
262843259,PC
20579360,PC
219332978,PC
204698337,PC
399967279,CP
431971818,PC
270604417,CP
341419787,FP
444013020,KP
350293646,KP
350293646,CP
80711765,PC
294500964,FP
31515092,PC
468981993,APC
269400980,PC
441453629,PC
441155146,PC
422385684,PC
420177051,PC
387409975,PC
321086563,PC
284679064,PC
258920431,CP
239816546,CP
239638934,FP
160037058,PC
159332859,PC
142784687,PC
115453244,PC
104986789,PC
103751498,KP
102713734,CP
21279791,PC
7548817,CP
62530991,FP
284418751,PC
157698565,CP
146776480,APC
355800238,PC
269850928,PC
234282389,FA
149572298,PC
52315301,PC
38965512,PC
273850708,PC
260537454,PC
231076038,PC
31943299,PC
394346647,PC
388202128,PC
382259755,PC
403288821,FP
349410350,PC
308396509,PC
300604770,PC
262829328,PC
260541432,PC
259901731,PC
391900348,PC
140067837,PC
231703293,FP
318812447,PC
119925436,PC
349408306,APC
98753307,PC
385332171,APC
372818426,PC
349966879,APC
234527228,PC
231833236,PC
453100296,PC
29830212,FP
372852036,PC
149394317,APC
200805484,PC
160004025,PC
31634579,PC
372817671,PC
144125079,PC
348684813,FP
348835438,CP
190081497,FP
1018843,PC
179033846,FP
420016507,PC
354517490,PC
323295908,PC
219366908,FP
209408136,PC
200320748,PC
161568891,PC
161479081,PC
159989004,PC
155993822,PC
98728690,PC
92363023,PC
92359852,PC
71345362,PC
38399060,PC
30016082,PC
44791617,PC
332534326,CP
153725446,PC
152477897,PC
91869778,FP
319473643,PC
134315574,FP
130611752,FP
306903715,PC
270677031,PC
80682484,PC
133427311,PC
268187322,PC
131581522,FP
387275908,APC
130948731,PC
128135100,PC
268042363,FP
114103134,FP
238335094,PC
238335094,PC
238020894,APC
79930628,PC
285524410,FP
173818213,PC
419148828,APC
157572174,PC
157011920,PC
156949982,PC
151930063,FP
123106490,FP
146836153,FP
344140617,PC
134183038,PC
80713983,PC
355796887,PC
342167886,PC
340559155,PC
340144218,PC
310537530,PC
308987429,PC
308612785,PC
307366709,PC
298206077,PC
295093397,PC
290302097,FP
268125229,PC
260120451,PC
141574742,PC
141141249,PC
118406995,PC
90127880,PC
89617284,PC
45896295,PC
45299834,PC
45048546,PC
340700241,FP
302798365,PC
374847873,FP
357896777,PC
357299852,PC
356206412,PC
304025075,FP
302527524,PC
469184909,FP
464328419,PC
464326872,PC
463508231,PC
463469906,PC
463203560,FP
462162963,FP
462072242,PC
446684383,PC
444394183,PC
